City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Auki,SB,-8.7676,160.7034,75.54,89,87,4.16,overcast clouds
295,Beaupre,CA,47.0443,-70.8953,78.46,69,66,4.61,broken clouds
296,Akdepe,TM,42.0551,59.3788,75.29,29,22,10.92,few clouds
297,Clyde River,CA,70.4692,-68.5914,39.43,93,100,3.44,overcast clouds
298,Damietta,EG,31.4165,31.8133,82.29,68,0,12.41,clear sky
299,Richards Bay,ZA,-28.783,32.0377,69.39,84,2,3.83,clear sky
300,Kruisfontein,ZA,-34.0033,24.7314,64.89,93,0,3.65,clear sky
301,Flinders,AU,-34.5833,150.8552,58.37,79,81,3.0,broken clouds
302,Eskisehir,TR,39.7767,30.5206,80.47,29,0,4.61,clear sky
303,Flin Flon,CA,54.7682,-101.865,51.64,58,75,16.11,broken clouds
304,Pizarro,CO,4.9533,-77.366,80.6,81,100,5.73,light rain
305,Aden,YE,12.7794,45.0367,87.13,70,40,3.38,scattered clouds
306,Viedma,AR,-40.8135,-62.9967,54.93,28,6,12.48,clear sky
307,Anadyr,RU,64.75,177.4833,41.5,86,0,6.71,clear sky
308,Marsh Harbour,BS,26.5412,-77.0636,87.31,63,64,8.9,broken clouds
309,Chokurdakh,RU,70.6333,147.9167,39.29,93,100,8.66,overcast clouds
310,Mae Hong Son,TH,19.3003,97.9685,74.59,99,100,0.92,overcast clouds
311,Lukovetskiy,RU,64.2956,41.9211,46.22,92,90,5.03,overcast clouds
312,Ulladulla,AU,-35.35,150.4667,54.19,87,87,6.44,light rain
313,Agadez,NE,19.75,10.25,97.77,12,0,9.08,clear sky
314,Jalu,LY,29.0331,21.5482,88.74,29,3,10.09,clear sky
315,Iquique,CL,-20.2208,-70.1431,60.84,66,0,9.42,clear sky
316,Broome,US,42.2506,-75.833,78.66,62,0,5.01,clear sky
317,Salmas,IR,38.1973,44.7653,69.04,32,0,3.85,clear sky
318,Marand,IR,38.4329,45.7749,71.08,35,0,5.01,clear sky
319,Nchelenge,ZM,-9.3451,28.734,76.39,46,21,4.32,few clouds
320,Kattivakkam,IN,13.2167,80.3167,84.29,73,100,11.81,heavy intensity rain
321,Duartina,BR,-22.4144,-49.4039,94.35,19,29,12.77,scattered clouds
322,Amalapuram,IN,16.5833,82.0167,75.29,98,100,4.14,light rain
323,Geraldton,AU,-28.7667,114.6,48.61,93,1,5.75,clear sky
324,Faya,SA,18.3851,42.4509,77.52,28,71,8.99,broken clouds
325,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,88,100,3.44,overcast clouds
326,San Javier,ES,37.8063,-0.8374,97.57,35,0,10.0,clear sky
327,Filingue,NE,14.3521,3.3168,88.92,51,100,12.73,overcast clouds
328,Dutse,NG,11.7594,9.3392,77.09,76,69,5.73,broken clouds
329,Saint-Francois,FR,46.4154,3.9054,65.68,68,0,6.91,clear sky
330,Zhigansk,RU,66.7697,123.3711,42.8,90,100,15.17,overcast clouds
331,Indianola,US,41.3581,-93.5574,84.69,49,0,10.63,clear sky
332,Taloqan,AF,36.7361,69.5345,77.85,20,0,2.3,clear sky
333,Wajir,KE,1.7471,40.0573,86.25,36,81,23.51,broken clouds
334,Medina,SA,24.4686,39.6142,108.03,6,0,6.91,clear sky
335,Aljezur,PT,37.3191,-8.8033,75.27,73,20,13.18,few clouds
336,Valparaiso,CL,-33.0393,-71.6273,61.03,54,0,8.05,clear sky
337,Jaguey Grande,CU,22.5269,-81.1286,88.68,62,65,8.72,broken clouds
338,Hede,CN,33.7681,120.2517,66.87,68,99,3.04,overcast clouds
339,Ekhabi,RU,53.5102,142.9671,50.81,68,51,12.91,broken clouds
340,Beaverlodge,CA,55.2166,-119.4361,49.35,43,77,7.14,broken clouds
341,Taltal,CL,-25.4,-70.4833,60.67,63,9,6.13,clear sky
342,Mariental,NA,-24.6333,17.9667,81.97,9,0,2.86,clear sky
343,Mizdah,LY,31.4451,12.9801,91.47,21,0,14.63,clear sky
344,Bell Ville,AR,-32.6259,-62.6887,63.66,24,0,13.89,clear sky
345,Bairiki,KI,1.3292,172.9752,80.6,78,20,11.5,few clouds
